text,common,constraint,recommendation,direction
iuWM calls for the alignment of urban development and basin management and brings together water supply sanitation and stormwater and wastewater management and integrates these with land use planning and economic development .,1,0,0,1
implementation of iuWM will require appropriate institutional structures policies careful planning capacitybuilding and investment in systems such as protection of upstream catchment areas rainwater harvesting and recharge water demand management and water reuse box 6.2 .,0,1,0,1
experiences from cities around the world have shown that it is possible to improve the performance of urban water supply systems and increase revenue and profits while continuing to expand the system and addressing the needs of the poor provided that there is strong leadership and good governance box 6.3 .,0,0,1,2
these may include promotion of reuse treatment of wastewater to an appropriate level for the intended reuse option and integration of sanitation systems with overall water resource and urban planning and design luthi et al .,1,0,0,1
these may include promotion of reuse treatment of wastewater to an appropriate level for the intended reuse option and integration of sanitation systems with overall water resource and urban planning and design luthi et al .,1,0,0,2
since transportation accounts for much of the cost of wastewater management decentralized systems that treat wastewater close to the source using simple technologies that maximize recycling of water and nutrients can be more effective particularly in poor and periurban settlements box 6.4 .,1,0,0,2
in accra urban vegetable gardens irrigated by treated wastewater provide up to 90 of the vegetable needs of the city tetteylowor 2009 .,0,0,1,2
in accra urban vegetable gardens irrigated by treated wastewater provide up to 90 of the vegetable needs of the city tetteylowor 2009 .,0,0,1,2
onsite sanitation which is still the main approach used in most urban areas in africa and asia is a challenge as well as an opportunity .,0,1,0,1
the sectors requiring the main bulk of this investment will be water supply and flood protection infrastructure and coastal zones with urban areas requiring an estimated 80 of the total funding required for adaptation World bank 2010b .,1,0,0,1
some cities like singapore have taken adaptive measures to increase the resilience of urban water supply and sanitation systems .,1,0,0,2
some cities like singapore have taken adaptive measures to increase the resilience of urban water supply and sanitation systems .,1,0,0,2
experience from high income countries shows that a combination of incentives including more stringent regulation enforcement and welltargeted subsidies can help reduce water pollution fao 2012b .,1,0,0,1
The committees then disseminated the information to the entire farming community and acted as pressure groups encouraging appropriate water saving and harvesting projects promoting low investment organic agriculture and helping formulate rules that would ensure interannual sustainability of limited groundwater resources .,0,1,1,2
it has been estimated that electricity accounts for 5 to 30 of the total operating cost of water and wastewater utilities World bank 2012 but in some countries such as india and bangladesh it can be as high as 40 van den berg and danilenko 2011 .,1,0,0,1
in addition to displacing water intensive thermal power renewables offer additional benefits including enhancing energy security and diversity reducing GHG emissions and local air pollution contributing to green growth and minigrid or offgrid solutions which are often less costly than grid extension to rural areas iea 2013 .,0,1,1,1
Key elements of the water services industry are covered in Chapters 5 and 6 on WasH and urbanization .,1,0,0,1
Most of this increase will be in emerging economies and developing countries with implications on water supply allocation and quality .,1,0,0,2
for developing countries however the priority for industry is to gain and secure access to water supplies that are reliable which is often a challenge in water stressed areas .,0,1,0,1
for developing countries however the priority for industry is to gain and secure access to water supplies that are reliable which is often a challenge in water stressed areas .,0,1,0,1
the worldwide trend of urbanization increases the related water demand of cities see Chapter 6 which may increase pressure on nearby water sources as well as the need for costly water transport .,0,1,1,1
the cryosphere where water is frozen provides us with direct visual evidence of temperature changes and is an important contributor to water supplies in many countries .,0,0,1,1
for instance inadequately described or enforced water rights may hinder improved access to water for poor and other vulnerable communities in many developing regions .,0,1,0,1
adaptive water management aims to move away from a predictandcontrol paradigm to one of building resilient communities .,1,0,0,2
2014 such as protecting ecosystems that provide clear benefits to water supply enhancing supplies via retention and recharge dams in small water catchments and reducing distribution losses and water requirements are obvious pathways towards increased sustainability and resilient communities .,1,0,0,1
examples of such regions are mountains and arid and semiarid regions in lowincome countries as well as river and groundwater systems that provide ecosystem services to fastgrowing megacities .,1,0,0,2
UnEsCAP Kelly Anne Hayden Donovan Storey Jeremy Tormos-Espinoza and Salmah Zakaria the heavily populated asia-Pacific region faces challenges associated with waterrelated disaster risk reduction in the context of climate change accelerated urbanization and the quality and quantity of available water supplies .,0,1,0,2
UnEsCAP Kelly Anne Hayden Donovan Storey Jeremy Tormos-Espinoza and Salmah Zakaria the heavily populated asia-Pacific region faces challenges associated with waterrelated disaster risk reduction in the context of climate change accelerated urbanization and the quality and quantity of available water supplies .,0,1,0,2
individually and together these challenges create significant obstacles to sustainable development although some progress has been made in terms of access to improved drinking water people using improved water supplies increased by 19 southern asia and 23 in eastern asia between 1990 and 2012 nearly 1.7 billion people in the region with more than half of these living in rural areas still did not have access to improved sanitation in 2012 WHo and uniCef 2014a .,0,1,0,1
individually and together these challenges create significant obstacles to sustainable development although some progress has been made in terms of access to improved drinking water people using improved water supplies increased by 19 southern asia and 23 in eastern asia between 1990 and 2012 nearly 1.7 billion people in the region with more than half of these living in rural areas still did not have access to improved sanitation in 2012 WHo and uniCef 2014a .,0,1,0,1
individually and together these challenges create significant obstacles to sustainable development although some progress has been made in terms of access to improved drinking water people using improved water supplies increased by 19 southern asia and 23 in eastern asia between 1990 and 2012 nearly 1.7 billion people in the region with more than half of these living in rural areas still did not have access to improved sanitation in 2012 WHo and uniCef 2014a .,0,1,0,2
individually and together these challenges create significant obstacles to sustainable development although some progress has been made in terms of access to improved drinking water people using improved water supplies increased by 19 southern asia and 23 in eastern asia between 1990 and 2012 nearly 1.7 billion people in the region with more than half of these living in rural areas still did not have access to improved sanitation in 2012 WHo and uniCef 2014a .,0,1,0,1
India China Nepal Bangladesh and Pakistan alone account for nearly half the worlds total groundwater use urban water needs and challenges require multisectoral inclusive and comprehensive strategies .,0,1,1,1
several strategies are notable in the region including efforts towards urban nexus waterenergyfood planning integrated stormwater management and green buildings stormwater management and road tunnels in Malaysia water sensitive urban design,1,0,0,2
12.1 Growth in agricultural groundwater use in selected countries 19402010,1,0,0,1
Reproduced from Figure 1 Growth in groundwater use in selected countries 1940-2010 .,1,0,0,2
efforts to rehabilitate urban water resources include the increasing use of wastewater for periurban agriculture and for energy production .,1,0,0,1
an increasing number of initiatives are now looking at opportunities to integrate water management with urban needs in energy green spaces and food security .,0,0,1,1
Many of these strategies require not only urban but also regional and national support and commitment signifying that urban water management and meeting future water needs is a challenge that involves coordination of stakeholders both within and beyond the urban boundary .,0,1,1,1
However if groundwater resources continue to be used beyond sustainable limits agricultural production which is the main source of income for the majority of the population in the region will be threatened .,0,1,0,1
other important challenges include the need for more sustainable water use access to more reliable water services particularly in least developed countries and countries suffering directly and indirectly from conflict and improved water governance for national and transboundary surface water and groundwater resources .,0,1,1,2
other important challenges include the need for more sustainable water use access to more reliable water services particularly in least developed countries and countries suffering directly and indirectly from conflict and improved water governance for national and transboundary surface water and groundwater resources .,0,1,1,2
13.1 Water scarcity Population growth and increasing socioeconomic pressures have reduced the availability of freshwater resources in the arab region .,0,1,0,1
availability dropped from 921 m3 per capita per year in 2002 to 727 m3 per capita per year a decade later with 16 of 22 arab countries falling below the water scarcity level of 1 000 m3 per capita per year and able to withdraw on average only 292 m3 per capita per year in 2011 figure 13.1 .,1,0,0,2
almost 75 of the arab population live under the water scarcity level and nearly half lives under extreme water scarcity level of 500 m3 per capita per year .,1,0,0,1
egypt Jordan lebanon Morocco oman and tunisia have also sought to rehabilitate irrigation canals terraces and traditional water networks to improve agricultural water use efficiency although flood irrigation remains dominant in many countries iCarda Gef ifad 2013 .,1,0,0,1
The Arab region is pursuing efforts to respond to increased water scarcity drought climate variability and service deficiencies under changing and uncertain conditions to increase water storage in aquifers as a means to increase reserves and offset risks see WWaP 2015 Chapter 3 Case study sustainable water resources management in the Gulf Cooperation Council countries .,0,1,0,1
by october 2013 access to water supply services in syria had decreased by 70 on average since the beginning of the conflict and has continued to decline due to a breakdown in services this has resulted in a massive undertaking among WasH sector partners to distribute chlorine hygiene kits and generators throughout the country uniCef 2013 .,1,0,0,1
by october 2013 access to water supply services in syria had decreased by 70 on average since the beginning of the conflict and has continued to decline due to a breakdown in services this has resulted in a massive undertaking among WasH sector partners to distribute chlorine hygiene kits and generators throughout the country uniCef 2013 .,1,0,0,1
by october 2013 access to water supply services in syria had decreased by 70 on average since the beginning of the conflict and has continued to decline due to a breakdown in services this has resulted in a massive undertaking among WasH sector partners to distribute chlorine hygiene kits and generators throughout the country uniCef 2013 .,1,0,0,2
the situation has become precarious along the euphrates river where water levels have dropped and destroyed pipes have forced residents of aleppo syria to use jerrycans to collect water from untreated surface water sources .,1,0,0,2
However the number of surface water or groundwater agreements involving arab countries is very limited and the few that exist are bilateral in nature rather than at the basin level .,0,1,0,2
according to the WHo and uniCef Joint Monitoring Programme JMP for Water supply and sanitation out of the total arab population estimated at 355 million people in 2011 approximately 17 60 million people do not have access to improved drinking water sources while 20 71 million people do not have access to improved sanitation facilities unesCWa 2013b WHo and uniCef 2013 .,0,1,0,2
according to the WHo and uniCef Joint Monitoring Programme JMP for Water supply and sanitation out of the total arab population estimated at 355 million people in 2011 approximately 17 60 million people do not have access to improved drinking water sources while 20 71 million people do not have access to improved sanitation facilities unesCWa 2013b WHo and uniCef 2013 .,0,1,0,1
according to the WHo and uniCef Joint Monitoring Programme JMP for Water supply and sanitation out of the total arab population estimated at 355 million people in 2011 approximately 17 60 million people do not have access to improved drinking water sources while 20 71 million people do not have access to improved sanitation facilities unesCWa 2013b WHo and uniCef 2013 .,0,1,0,2
according to the WHo and uniCef Joint Monitoring Programme JMP for Water supply and sanitation out of the total arab population estimated at 355 million people in 2011 approximately 17 60 million people do not have access to improved drinking water sources while 20 71 million people do not have access to improved sanitation facilities unesCWa 2013b WHo and uniCef 2013 .,0,1,0,1
this means that 83 of the population in the arab region has access to improved water sources .,1,0,0,1
this means that 83 of the population in the arab region has access to improved water sources .,1,0,0,1
improved water use efficiency is being promoted through Green Help desks and Clean Production Centres instituted in most arab countries .,1,0,0,1
improved water use efficiency is being promoted through Green Help desks and Clean Production Centres instituted in most arab countries .,1,0,0,1
these tensions highlight two waterrelated priorities that countries will have to address in the coming decades i strengthening water governance and ii improving provision of drinking water supply and sanitation services .,1,0,0,1
these tensions highlight two waterrelated priorities that countries will have to address in the coming decades i strengthening water governance and ii improving provision of drinking water supply and sanitation services .,1,0,0,1
these tensions highlight two waterrelated priorities that countries will have to address in the coming decades i strengthening water governance and ii improving provision of drinking water supply and sanitation services .,1,0,0,1
the widespread inability to establish effective formal and stable institutions to deal with water allocation and increasingly reallocation and pollution control issues is evidenced in many examples of poor management informality and lack of coordination WWaP 2012 .,0,1,0,1
these deficiencies in governance manifest themselves in unsustainable and informal practices of water use water pollution particularly in and downstream from densely populated urban areas and especially in the proliferation of conflicts in relation to most large infrastructure and natural resources development projects Martin and Justo 2014 .,0,1,0,1
these deficiencies in governance manifest themselves in unsustainable and informal practices of water use water pollution particularly in and downstream from densely populated urban areas and especially in the proliferation of conflicts in relation to most large infrastructure and natural resources development projects Martin and Justo 2014 .,0,1,0,1
Given the relative abundance of water in the region any water crisis is more institutional than one in terms of physical availability to overcome this situation governments will have to put in place and make fully operational i water management institutions that adequately respond to the nature of the problems involved in utilising the resource and that are in tune with the conceptions and practices of society ii water management instruments water use rights and discharge permits assessment planning water quality norms demand management conflict resolution regulation etc .,0,1,0,2
Given the relative abundance of water in the region any water crisis is more institutional than one in terms of physical availability to overcome this situation governments will have to put in place and make fully operational i water management institutions that adequately respond to the nature of the problems involved in utilising the resource and that are in tune with the conceptions and practices of society ii water management instruments water use rights and discharge permits assessment planning water quality norms demand management conflict resolution regulation etc .,0,1,0,2
Many cities still suffer from episodic flooding because of inadequate stormwater drainage infrastructure and deficiencies in urban planning WWaP 2012 .,0,1,0,1
Governments will have to concentrate efforts to achieve universal service coverage with emphasis on household connections improvement in service quality and sustainability which could take 10 to 20 years in many countries while the expansion of wastewater treatment and stormwater drainage systems is likely to require similar time .,1,0,0,2
Governments will have to concentrate efforts to achieve universal service coverage with emphasis on household connections improvement in service quality and sustainability which could take 10 to 20 years in many countries while the expansion of wastewater treatment and stormwater drainage systems is likely to require similar time .,1,0,0,2
important progress has been made towards attaining the MdG target for access to improved drinking water except for the most fragile states especially for urban populations but much less progress has been made with respect to sanitation .,1,0,0,1
important progress has been made towards attaining the MdG target for access to improved drinking water except for the most fragile states especially for urban populations but much less progress has been made with respect to sanitation .,1,0,0,2
important progress has been made towards attaining the MdG target for access to improved drinking water except for the most fragile states especially for urban populations but much less progress has been made with respect to sanitation .,1,0,0,1
important progress has been made towards attaining the MdG target for access to improved drinking water except for the most fragile states especially for urban populations but much less progress has been made with respect to sanitation .,1,0,0,2
in 2012 three years before the end of MdGs on average about 36 of the population did not have access to improved water resources and 70 still did not have access to improved sanitation .,1,0,0,2
in 2012 three years before the end of MdGs on average about 36 of the population did not have access to improved water resources and 70 still did not have access to improved sanitation .,1,0,0,2
A study commissioned by the African Ministers Council on Water AMCOW and executed by the International Water Management Institute IWMI assessed the extent and prevalence of largescale agricultural lease investments LSALI in many countries in Africa IWMI 2014 .,1,0,0,1
A study commissioned by the African Ministers Council on Water AMCOW and executed by the International Water Management Institute IWMI assessed the extent and prevalence of largescale agricultural lease investments LSALI in many countries in Africa IWMI 2014 .,1,0,0,1
from a social perspective there are obvious connections between access to safe and adequate quantities of water and health for drinking first but also for hygiene and sanitation at the household community and national levels see Chapter 5 .,1,0,0,1
C Halve by 2015 the proportion of people without sustainable access to safe drinking water and basic sanitation - indicator 7.7 Proportion of population using an improved drinking water source,1,0,0,2
C Halve by 2015 the proportion of people without sustainable access to safe drinking water and basic sanitation - indicator 7.7 Proportion of population using an improved drinking water source,1,0,0,1
C Halve by 2015 the proportion of people without sustainable access to safe drinking water and basic sanitation - indicator 7.7 Proportion of population using an improved drinking water source,1,0,0,2
- indicator 7.8 Proportion of population using an improved sanitation facility,1,0,0,2
Children learning the importance of proper hand washing and drinking safe water Had Ane Primary School Oudomxay Province Laos .,1,0,0,2
this is especially important in the context of water services since the drinking water and wastewater infrastructure of developed nations has deteriorated in the last decades asCe 2011 and vulnerable populations still lack access to WasH in rich countries Government of Canada 2014 .,0,1,0,1
this is especially important in the context of water services since the drinking water and wastewater infrastructure of developed nations has deteriorated in the last decades asCe 2011 and vulnerable populations still lack access to WasH in rich countries Government of Canada 2014 .,0,1,0,1
this is especially important in the context of water services since the drinking water and wastewater infrastructure of developed nations has deteriorated in the last decades asCe 2011 and vulnerable populations still lack access to WasH in rich countries Government of Canada 2014 .,0,1,0,1
this is especially important in the context of water services since the drinking water and wastewater infrastructure of developed nations has deteriorated in the last decades asCe 2011 and vulnerable populations still lack access to WasH in rich countries Government of Canada 2014 .,0,1,0,1
this is especially important in the context of water services since the drinking water and wastewater infrastructure of developed nations has deteriorated in the last decades asCe 2011 and vulnerable populations still lack access to WasH in rich countries Government of Canada 2014 .,0,1,0,2
this is especially important in the context of water services since the drinking water and wastewater infrastructure of developed nations has deteriorated in the last decades asCe 2011 and vulnerable populations still lack access to WasH in rich countries Government of Canada 2014 .,0,1,0,1
a by 2030 expand international cooperation and capacitybuilding support to developing countries in waterand sanitationrelated activities and programmes including water harvesting desalination water efficiency wastewater treatment recycling and reuse technologies 6 .,0,0,1,2
b support and strengthen the participation of local communities for improving water and sanitation management,0,0,1,1
b support and strengthen the participation of local communities for improving water and sanitation management,0,0,1,1
b support and strengthen the participation of local communities for improving water and sanitation management,0,0,1,1
Water management and decisions affecting water will play a key role in tackling the development challenges of the twentyfirst century including urbanization sustainable industrial development and economic growth eradicating persistent poverty ensuring food security responding to new patterns of consumption and conserving threatened ecosystems .,0,1,0,1
Irrigation channels carry water from its source to the top of the village Al Hamra Ad Dakhiliyah Oman .,1,0,0,1
a wide range of measures exists to strengthen social administrative and political accountability such as public expenditure tracking auditing public access to water utility budget and performance information citizen report cards consumer redress mechanisms establishment of model contracts and raising consumer awareness of their rights and obligations .,1,0,0,1
there are a growing number of examples of reclaimed wastewater being used in agriculture for irrigating municipal parks and fields in industrial cooling systems and even in some cases mixed in with drinking water 2030 WrG 2013 .,1,0,0,2
there are a growing number of examples of reclaimed wastewater being used in agriculture for irrigating municipal parks and fields in industrial cooling systems and even in some cases mixed in with drinking water 2030 WrG 2013 .,1,0,0,1
there are a growing number of examples of reclaimed wastewater being used in agriculture for irrigating municipal parks and fields in industrial cooling systems and even in some cases mixed in with drinking water 2030 WrG 2013 .,1,0,0,2
biogas produced from wastewater sludge is being used to power water treatment plants public transportation and city heating .,1,0,0,2
biogas produced from wastewater sludge is being used to power water treatment plants public transportation and city heating .,1,0,0,1
focusing on access to WasH and providing infrastructure to the worlds slums and informal settlements provides an opportunity for intensive innovation in moving away from the conventional flushtoilet sewerage systems .,1,0,0,2
focusing on access to WasH and providing infrastructure to the worlds slums and informal settlements provides an opportunity for intensive innovation in moving away from the conventional flushtoilet sewerage systems .,1,0,0,2
Whereas services at the general level are far less available in rural areas there has been an increase in the number of people without access to water and sanitation in urban areas see chapters 5 and 6 .,1,0,0,2
Whereas services at the general level are far less available in rural areas there has been an increase in the number of people without access to water and sanitation in urban areas see chapters 5 and 6 .,1,0,0,2
Whereas services at the general level are far less available in rural areas there has been an increase in the number of people without access to water and sanitation in urban areas see chapters 5 and 6 .,1,0,0,2
Whereas services at the general level are far less available in rural areas there has been an increase in the number of people without access to water and sanitation in urban areas see chapters 5 and 6 .,1,0,0,1
Whereas services at the general level are far less available in rural areas there has been an increase in the number of people without access to water and sanitation in urban areas see chapters 5 and 6 .,1,0,0,1
Whereas services at the general level are far less available in rural areas there has been an increase in the number of people without access to water and sanitation in urban areas see chapters 5 and 6 .,1,0,0,1
People living in the worlds slums estimated to reach nearly 900 million by 2020 un-Habitat 2010 are more vulnerable to extreme weather events and more likely to suffer from the lack access to safe water and sanitation .,0,1,0,1
People living in the worlds slums estimated to reach nearly 900 million by 2020 un-Habitat 2010 are more vulnerable to extreme weather events and more likely to suffer from the lack access to safe water and sanitation .,0,1,0,1
1 innovative solutions such as functioning water kiosks have been shown to significantly improve access to drinking water supplies in informal settlements .,0,1,0,1
1 innovative solutions such as functioning water kiosks have been shown to significantly improve access to drinking water supplies in informal settlements .,0,1,0,1
reflecting the established principles of the human right to water and sanitation as recognized in resolution 64 292 of the un General assembly in July 2010 governments need to adopt ambitious targets for improving WasH service levels in order to reduce the global burden of WasH-related diseases to improve productivity and economic growth and to reduce inequalities between population groups .,0,0,1,1
reflecting the established principles of the human right to water and sanitation as recognized in resolution 64 292 of the un General assembly in July 2010 governments need to adopt ambitious targets for improving WasH service levels in order to reduce the global burden of WasH-related diseases to improve productivity and economic growth and to reduce inequalities between population groups .,0,0,1,1
reflecting the established principles of the human right to water and sanitation as recognized in resolution 64 292 of the un General assembly in July 2010 governments need to adopt ambitious targets for improving WasH service levels in order to reduce the global burden of WasH-related diseases to improve productivity and economic growth and to reduce inequalities between population groups .,0,0,1,1
Colombo sri lanka international Water Management institute iWMi .,1,0,0,1
nairobi Colombo united nations environment Programme uneP international Water Management institute iWMi .,1,0,0,2
Good Practices in urban water management Decoding good practices for a successful future .,1,0,0,2
london Colombo earthscan international Water Management institute iWMi .,1,0,0,1
Colombo sri lanka international Water Management institute iWMi .,1,0,0,1
html iWMi international Water Management institute .,1,0,0,1
Local Government Investment in Municipal Water and Sewer Infrastructure Adding Value to the National Economy .,1,0,0,2
rijswijk the netherlands sustainable sanitation alliance susana international forum on urbanism ifou Papiroz Publishing House .,1,0,0,2
Global regional and country level need for data on wastewater generation treatment and use .,0,0,1,2
Closing the loop between sanitation and agriculture in Accra Ghana Improving yields in urban agriculture by using urine as a fertilizer and drivers barriers for scalingup .,0,1,0,2
A Primer on Energy Efficiency for Municipal Water and Wastewater Utilities .,1,0,0,2
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,1
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,1
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,1
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,1
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,1
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,2
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,2
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,2
