0,1,2
WB environmental health and child survival,decent work and economic growth,117
WB environmental health and child survival,industry innowation and infrastructure,178
WB environmental health and child survival,reduced inequalities,1
WB environmental health and child survival,responsible consumption and production,43
WB environmental health and child survival,climate action,3
WB environmental health and child survival,life below water,5
WB environmental health and child survival,life on land,2
WB environmental health and child survival,piece justice and strong institutions,82
WB environmental health and child survival,partnership for the goals,18
WB planning financing cities now,no poverty,41
WB planning financing cities now,zero hunger,4
WB planning financing cities now,good health and well beeing,13
WB planning financing cities now,quality education,109
WB planning financing cities now,gender equality,4
WB planning financing cities now,clean water and sanitation,23
WB planning financing cities now,affordable and clean energy,18
WB planning financing cities now,decent work and economic growth,258
WB planning financing cities now,industry innowation and infrastructure,231
WB planning financing cities now,reduced inequalities,7
WB planning financing cities now,responsible consumption and production,70
WB planning financing cities now,climate action,6
WB planning financing cities now,life below water,7
WB planning financing cities now,life on land,4
WB planning financing cities now,piece justice and strong institutions,111
WB planning financing cities now,partnership for the goals,39
WB turn down the heat,no poverty,46
WB turn down the heat,zero hunger,30
WB turn down the heat,good health and well beeing,24
WB turn down the heat,quality education,41
WB turn down the heat,gender equality,1
WB turn down the heat,clean water and sanitation,44
WB turn down the heat,affordable and clean energy,9
WB turn down the heat,decent work and economic growth,98
WB turn down the heat,industry innowation and infrastructure,44
WB turn down the heat,reduced inequalities,8
WB turn down the heat,responsible consumption and production,48
WB turn down the heat,climate action,131
WB turn down the heat,life below water,3
WB turn down the heat,life on land,35
WB turn down the heat,piece justice and strong institutions,19
WB turn down the heat,partnership for the goals,3
WDR_2004 - English,no poverty,174
WDR_2004 - English,zero hunger,12
WDR_2004 - English,good health and well beeing,234
WDR_2004 - English,quality education,378
WDR_2004 - English,gender equality,7
WDR_2004 - English,clean water and sanitation,55
WDR_2004 - English,affordable and clean energy,23
WDR_2004 - English,decent work and economic growth,365
WDR_2004 - English,industry innowation and infrastructure,206
WDR_2004 - English,reduced inequalities,8
WDR_2004 - English,responsible consumption and production,113
WDR_2004 - English,climate action,0
WDR_2004 - English,life below water,6
WDR_2004 - English,life on land,3
WDR_2004 - English,piece justice and strong institutions,230
WDR_2004 - English,partnership for the goals,67
WDR_2006 Equity and development,no poverty,273
WDR_2006 Equity and development,zero hunger,12
WDR_2006 Equity and development,good health and well beeing,143
WDR_2006 Equity and development,quality education,732
WDR_2006 Equity and development,gender equality,55
WDR_2006 Equity and development,clean water and sanitation,4
WDR_2006 Equity and development,affordable and clean energy,11
WDR_2006 Equity and development,decent work and economic growth,809
WDR_2006 Equity and development,industry innowation and infrastructure,401
WDR_2006 Equity and development,reduced inequalities,312
WDR_2006 Equity and development,responsible consumption and production,218
WDR_2006 Equity and development,climate action,12
WDR_2006 Equity and development,life below water,4
WDR_2006 Equity and development,life on land,36
WDR_2006 Equity and development,piece justice and strong institutions,290
WDR_2006 Equity and development,partnership for the goals,84
WDR_2009_bookweb_1,no poverty,138
WDR_2009_bookweb_1,zero hunger,5
WDR_2009_bookweb_1,good health and well beeing,42
WDR_2009_bookweb_1,quality education,113
WDR_2009_bookweb_1,gender equality,56
WDR_2009_bookweb_1,clean water and sanitation,20
WDR_2009_bookweb_1,affordable and clean energy,21
WDR_2009_bookweb_1,decent work and economic growth,442
WDR_2009_bookweb_1,industry innowation and infrastructure,368
WDR_2009_bookweb_1,reduced inequalities,74
WDR_2009_bookweb_1,responsible consumption and production,139
WDR_2009_bookweb_1,climate action,2
WDR_2009_bookweb_1,life below water,2
WDR_2009_bookweb_1,life on land,18
WDR_2009_bookweb_1,piece justice and strong institutions,60
WDR_2009_bookweb_1,partnership for the goals,48
WDR_2009_bookweb_2,no poverty,143
WDR_2009_bookweb_2,zero hunger,10
WDR_2009_bookweb_2,good health and well beeing,46
WDR_2009_bookweb_2,quality education,360
WDR_2009_bookweb_2,gender equality,22
WDR_2009_bookweb_2,clean water and sanitation,34
WDR_2009_bookweb_2,affordable and clean energy,39
WDR_2009_bookweb_2,decent work and economic growth,748
WDR_2009_bookweb_2,industry innowation and infrastructure,547
WDR_2009_bookweb_2,reduced inequalities,47
WDR_2009_bookweb_2,responsible consumption and production,255
WDR_2009_bookweb_2,climate action,13
WDR_2009_bookweb_2,life below water,12
WDR_2009_bookweb_2,life on land,46
WDR_2009_bookweb_2,piece justice and strong institutions,153
WDR_2009_bookweb_2,partnership for the goals,117
WDR_2010-Full-Text,no poverty,155
WDR_2010-Full-Text,zero hunger,25
WDR_2010-Full-Text,good health and well beeing,54
WDR_2010-Full-Text,quality education,404
WDR_2010-Full-Text,gender equality,8
WDR_2010-Full-Text,clean water and sanitation,58
WDR_2010-Full-Text,affordable and clean energy,268
WDR_2010-Full-Text,decent work and economic growth,686
WDR_2010-Full-Text,industry innowation and infrastructure,858
WDR_2010-Full-Text,reduced inequalities,16
WDR_2010-Full-Text,responsible consumption and production,227
WDR_2010-Full-Text,climate action,502
WDR_2010-Full-Text,life below water,21
WDR_2010-Full-Text,life on land,109
WDR_2010-Full-Text,piece justice and strong institutions,194
WDR_2010-Full-Text,partnership for the goals,113
WDR_2011_Full_Text,no poverty,161
WDR_2011_Full_Text,zero hunger,22
WDR_2011_Full_Text,good health and well beeing,49
WDR_2011_Full_Text,quality education,1138
WDR_2011_Full_Text,gender equality,54
WDR_2011_Full_Text,clean water and sanitation,16
WDR_2011_Full_Text,affordable and clean energy,41
WDR_2011_Full_Text,decent work and economic growth,1343
WDR_2011_Full_Text,industry innowation and infrastructure,486
WDR_2011_Full_Text,reduced inequalities,41
WDR_2011_Full_Text,responsible consumption and production,205
WDR_2011_Full_Text,climate action,24
WDR_2011_Full_Text,life below water,3
WDR_2011_Full_Text,life on land,18
WDR_2011_Full_Text,piece justice and strong institutions,780
WDR_2011_Full_Text,partnership for the goals,239
WDR_2012 Gender equality and development,no poverty,146
WDR_2012 Gender equality and development,zero hunger,7
WDR_2012 Gender equality and development,good health and well beeing,200
WDR_2012 Gender equality and development,quality education,797
WDR_2012 Gender equality and development,gender equality,397
WDR_2012 Gender equality and development,clean water and sanitation,60
WDR_2012 Gender equality and development,affordable and clean energy,47
WDR_2012 Gender equality and development,decent work and economic growth,752
WDR_2012 Gender equality and development,industry innowation and infrastructure,409
WDR_2012 Gender equality and development,reduced inequalities,76
WDR_2012 Gender equality and development,responsible consumption and production,183
WDR_2012 Gender equality and development,climate action,4
WDR_2012 Gender equality and development,life below water,2
WDR_2012 Gender equality and development,life on land,27
WDR_2012 Gender equality and development,piece justice and strong institutions,197
WDR_2012 Gender equality and development,partnership for the goals,70
WDR_2013_Report,no poverty,144
WDR_2013_Report,zero hunger,20
WDR_2013_Report,good health and well beeing,26
WDR_2013_Report,quality education,495
WDR_2013_Report,gender equality,57
WDR_2013_Report,clean water and sanitation,15
WDR_2013_Report,affordable and clean energy,51
WDR_2013_Report,decent work and economic growth,949
WDR_2013_Report,industry innowation and infrastructure,742
WDR_2013_Report,reduced inequalities,26
WDR_2013_Report,responsible consumption and production,335
WDR_2013_Report,climate action,17
WDR_2013_Report,life below water,7
WDR_2013_Report,life on land,85
WDR_2013_Report,piece justice and strong institutions,131
WDR_2013_Report,partnership for the goals,61
WHO World Helath Report 2013_eng,no poverty,20
WHO World Helath Report 2013_eng,zero hunger,2
WHO World Helath Report 2013_eng,good health and well beeing,230
WHO World Helath Report 2013_eng,quality education,111
WHO World Helath Report 2013_eng,gender equality,5
WHO World Helath Report 2013_eng,clean water and sanitation,3
WHO World Helath Report 2013_eng,affordable and clean energy,11
WHO World Helath Report 2013_eng,decent work and economic growth,123
WHO World Helath Report 2013_eng,industry innowation and infrastructure,88
WHO World Helath Report 2013_eng,reduced inequalities,6
WHO World Helath Report 2013_eng,responsible consumption and production,63
WHO World Helath Report 2013_eng,climate action,1
WHO World Helath Report 2013_eng,life below water,0
WHO World Helath Report 2013_eng,life on land,1
WHO World Helath Report 2013_eng,piece justice and strong institutions,55
WHO World Helath Report 2013_eng,partnership for the goals,32
World Bank Partnerships cities,no poverty,71
World Bank Partnerships cities,zero hunger,4
World Bank Partnerships cities,good health and well beeing,27
World Bank Partnerships cities,quality education,209
World Bank Partnerships cities,gender equality,0
World Bank Partnerships cities,clean water and sanitation,26
World Bank Partnerships cities,affordable and clean energy,56
World Bank Partnerships cities,decent work and economic growth,302
World Bank Partnerships cities,industry innowation and infrastructure,310
World Bank Partnerships cities,reduced inequalities,5
World Bank Partnerships cities,responsible consumption and production,113
World Bank Partnerships cities,climate action,96
World Bank Partnerships cities,life below water,6
World Bank Partnerships cities,life on land,5
World Bank Partnerships cities,piece justice and strong institutions,145
World Bank Partnerships cities,partnership for the goals,102
World Water report 2015,no poverty,57
World Water report 2015,zero hunger,10
World Water report 2015,good health and well beeing,34
World Water report 2015,quality education,75
World Water report 2015,gender equality,10
World Water report 2015,clean water and sanitation,176
World Water report 2015,affordable and clean energy,18
World Water report 2015,decent work and economic growth,163
World Water report 2015,industry innowation and infrastructure,144
World Water report 2015,reduced inequalities,13
World Water report 2015,responsible consumption and production,71
World Water report 2015,climate action,26
World Water report 2015,life below water,44
World Water report 2015,life on land,33
World Water report 2015,piece justice and strong institutions,72
World Water report 2015,partnership for the goals,26
